Text_Size,Image_Size,Digital_Challenges,Application_Challenges,age,Tech_Comfort,Student_Status,Education_Level,Current_Device
36,200,[3],[1],27.0,4,1,6.0,1
12,260,[],[2],20.0,5,1,,2
16,375,[],[],50.0,5,1,6.0,3
18,300,[],[1],46.0,5,1,6.0,3
20,350,[],[1],25.0,5,0,6.0,3
16,225,[],[1],28.0,5,1,3.0,3
18,350,[1],[1],50.0,4,0,6.0,3
17,275,"[4, 0]","[4, 5, 7, 0]",22.0,4,1,4.0,3
18,300,[3],"[1, 2, 5]",26.0,4,1,6.0,3
15,250,[4],"[1, 5, 6, 7]",28.0,3,1,,3
22,350,[1],[1],66.0,5,0,4.0,3
13,210,[3],[5],30.0,5,1,5.0,3
44,350,[1],"[1, 4]",65.0,2,0,,3
28,293,[1],[1],44.0,2,0,6.0,3
15,275,[3],[1],27.0,5,0,5.0,3
21,270,[],[1],28.0,4,0,4.0,3
17,500,[4],[],47.0,2,0,4.0,3
11,210,[],[],34.0,5,1,1.0,3
25,250,[],[],25.0,5,1,6.0,3
18,288,[1],"[1, 5]",,4,0,,3
22,275,[],[],21.0,4,1,4.0,3
16,275,[],"[1, 3, 6]",42.0,5,0,5.0,3
15,300,[],[],25.0,5,1,4.0,3
16,270,[],[1],52.0,4,0,8.0,3
24,315,[],[1],42.0,4,1,4.0,3
23,500,[1],"[1, 2, 5]",49.0,5,1,6.0,2
15,375,[],[],43.0,4,0,,1
15,300,[],[5],22.0,5,0,6.0,2
19,375,"[1, 3]","[1, 3, 6]",43.0,4,0,8.0,1
16,250,[1],[1],40.0,4,1,6.0,3
50,500,"[1, 2, 3]","[1, 2, 5, 7]",63.0,2,0,6.0,3
37,365,[3],[7],,3,1,4.0,1
36,440,[],[],64.0,2,1,,2
25,265,[4],[2],33.0,4,1,6.0,1
21,225,[],[],24.0,5,1,3.0,2
26,313,[3],[1],67.0,3,1,,1
37,420,[],[],,2,0,4.0,1
29,320,"[1, 5]","[1, 5, 7]",70.0,2,0,3.0,1
45,400,"[1, 3, 4]","[1, 2, 3, 4, 5]",67.0,1,0,9.0,1
18,213,[],[],62.0,1,1,,1
14,153,[5],[],41.0,3,0,,2
16,265,[],[],30.0,4,1,6.0,1
20,200,[],[],21.0,5,1,3.0,1
16,300,"[1, 3]",[1],50.0,4,0,,2
15,320,[3],"[1, 2, 5]",22.0,4,0,5.0,1
22,275,"[1, 2, 3]",[2],70.0,4,1,6.0,3
22,270,[5],"[1, 3, 6]",28.0,4,1,4.0,3
12,300,"[1, 3]",[1],70.0,3,0,6.0,3
24,440,[3],[1],43.0,3,1,6.0,3
16,300,[4],[1],34.0,2,0,,3
24,225,"[1, 3]","[1, 3, 6]",40.0,2,1,4.0,3
23,200,"[1, 2, 3]",[7],67.0,1,0,6.0,3
17,315,[1],[1],67.0,5,0,6.0,3
18,300,[3],[1],26.0,2,0,,2
26,500,"[1, 5]",[5],25.0,2,1,3.0,3
22,365,[1],[5],50.0,5,0,6.0,1
44,500,[1],"[1, 5]",50.0,4,0,6.0,1
16,313,[1],"[1, 2, 5]",27.0,3,0,5.0,3
